No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC Address,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
411,25:57.6,fc:57:03:cc:07:80,Broadcast,ARP,60,Who has 192.168.1.13? Tell 192.168.1.1,,fc:57:03:cc:07:80,ff:ff:ff:ff:ff:ff,192.168.1.1,192.168.1.13,,,0.008449,60,0
412,25:57.6,90:0f:0c:31:14:3b,fc:57:03:cc:07:80,ARP,42,192.168.1.13 is at 90:0f:0c:31:14:3b,,90:0f:0c:31:14:3b,fc:57:03:cc:07:80,192.168.1.13,192.168.1.1,,,0.000023,42,0
558,25:58.6,fc:57:03:cc:07:80,Broadcast,ARP,60,Who has 192.168.1.10? Tell 192.168.1.1,,fc:57:03:cc:07:80,ff:ff:ff:ff:ff:ff,192.168.1.1,192.168.1.10,,,0.002998,60,0
1281,26:03.7,fc:57:03:cc:07:80,Broadcast,ARP,60,Who has 192.168.1.13? Tell 192.168.1.1,,fc:57:03:cc:07:80,ff:ff:ff:ff:ff:ff,192.168.1.1,192.168.1.13,,,0.016197,60,0
1282,26:03.7,90:0f:0c:31:14:3b,fc:57:03:cc:07:80,ARP,42,192.168.1.13 is at 90:0f:0c:31:14:3b,,90:0f:0c:31:14:3b,fc:57:03:cc:07:80,192.168.1.13,192.168.1.1,,,0.000028,42,0
1396,26:04.7,fc:57:03:cc:07:80,Broadcast,ARP,60,Who has 192.168.1.10? Tell 192.168.1.1,,fc:57:03:cc:07:80,ff:ff:ff:ff:ff:ff,192.168.1.1,192.168.1.10,,,0.0107,60,0
1590,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.224? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.224,,,0.004574,42,0
1591,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.3? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.3,,,0.000131,42,0
1592,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.87? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.87,,,0.000395,42,0
1593,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.182? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.182,,,0.000638,42,0
1594,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.15? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.15,,,0,42,0
1595,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.212? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.212,,,0.000032,42,0
1597,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.12? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.12,,,0.000654,42,0
1598,26:06.5,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.14? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.14,,,0,42,0
1677,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.14? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.14,,,0.007617,42,0
1678,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.12? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.12,,,0,42,0
1679,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.212? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.212,,,0,42,0
1680,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.15? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.15,,,0,42,0
1681,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.182? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.182,,,0.000571,42,0
1682,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.87? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.87,,,0,42,0
1683,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.3? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.3,,,0,42,0
1684,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.224? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.224,,,0,42,0
1685,26:07.2,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.252? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.252,,,0.000579,42,0
1693,26:07.3,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.8? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.8,,,0.003465,42,0
1694,26:07.3,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.247? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.247,,,0.001568,42,0
1695,26:07.3,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.164? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.164,,,0,42,0
1696,26:07.3,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.104? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.104,,,0.003379,42,0
1697,26:07.3,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.149? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.149,,,0.000865,42,0
1698,26:07.3,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.17? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.17,,,0.000704,42,0
1699,26:07.3,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.132? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.132,,,0,42,0
1773,26:08.0,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.252? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.252,,,0.013349,42,0
1774,26:08.0,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.224? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.224,,,0,42,0
1775,26:08.0,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.3? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.3,,,0,42,0
1776,26:08.0,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.87? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.87,,,0.000066,42,0
1777,26:08.0,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.182? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.182,,,0.000827,42,0
1778,26:08.0,9e:8f:a2:1b:80:3a,Broadcast,ARP,42,Who has 192.168.1.15? Tell 192.168.1.10,,9e:8f:a2:1b:80:3a,ff:ff:ff:ff:ff:ff,192.168.1.10,192.168.1.15,,,0,42,0
