No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC Address,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
2093,31:12.6,157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=796045 Ack=1680 Win=64240 Len=1460,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,00:1A:2B:3C:4D:5E,,,127,0x0000,0.002215,1514,
2094,31:12.6,192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#20] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,00:1A:2B:3C:4D:5E,aa:bb:cc:00:10:10,,,128,0x0000,0.000046,54,
2095,31:12.6,157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=798965 Ack=1680 Win=64240 Len=1460,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,00:1A:2B:3C:4D:5E,,,127,0x0000,0.002546,1514,
2096,31:12.6,192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#21] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,00:1A:2B:3C:4D:5E,aa:bb:cc:00:10:10,,,128,0x0000,0.000047,54,
2097,31:12.7,157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=800425 Ack=1680 Win=64240 Len=1460,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,00:1A:2B:3C:4D:5E,,,127,0x0000,0.001328,1514,
2098,31:12.7,192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#22] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,00:1A:2B:3C:4D:5E,aa:bb:cc:00:10:10,,,128,0x0000,0.000045,54,
2099,31:12.7,157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=803345 Ack=1680 Win=64240 Len=1460,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,00:1A:2B:3C:4D:5E,,,127,0x0000,0.001316,1514,
2100,31:12.7,192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#23] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,00:1A:2B:3C:4D:5E,aa:bb:cc:00:10:10,,,128,0x0000,0.000043,54,
2101,31:12.7,157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Previous segment not captured] , Ignored Unknown Record",\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,00:1A:2B:3C:4D:5E,,,127,0x0000,0.002018,1514,
2102,31:12.7,192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#24] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,00:1A:2B:3C:4D:5E,aa:bb:cc:00:10:10,,,128,0x0000,0.000046,54,
2103,31:12.7,157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Previous segment not captured] , Ignored Unknown Record",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,00:1A:2B:3C:4D:5E,,,127,0x0000,0.001857,1514,
2104,31:12.7,192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#25] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,00:1A:2B:3C:4D:5E,aa:bb:cc:00:10:10,,,128,0x0000,0.000048,54,
2105,31:12.7,157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=746405 Ack=1680 Win=64240 Len=1460,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,00:1A:2B:3C:4D:5E,,,127,0x0000,0.060953,1514,
2106,31:12.7,192.168.77.21,157.240.199.15,TCP,54,49938  >  443 [ACK] Seq=1680 Ack=755165 Win=65392 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,00:1A:2B:3C:4D:5E,aa:bb:cc:00:10:10,,,128,0x0000,0.000082,54,
