Source,Destination,Protocol,Length,Info,Source MAC Address,Destination MAC,Source IP ARP,Destination IP ARP,Label
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=796045 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#20] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=798965 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#21] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=800425 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#22] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=803345 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#23] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Previous segment not captured] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#24] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TLSv1.2,1514,"[TCP Previous segment not captured] , Ignored Unknown Record",aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
192.168.77.21,157.240.199.15,TCP,54,[TCP Dup ACK 2054#25] 49938  >  443 [ACK] Seq=1680 Ack=746405 Win=65392 Len=0,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,0
157.240.199.15,192.168.77.21,TCP,1514,[TCP Retransmission] 443  >  49938 [ACK] Seq=746405 Ack=1680 Win=64240 Len=1460,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,0
