"No.","Time","Source","Destination","Protocol","Length","Info","Tcp Flags","Source MAC Address","Destination MAC","Source IP ARP","Destination IP ARP","Time to live","Flags","Delta time","Frame length"
"1","2025-04-18 19:45:30.052194","fe80::1","ff02::16","ICMPv6","170","Multicast Listener Report Message v2","","fc:57:03:cc:07:80","33:33:00:00:00:16","","","","","0.000000000","170"
"2","2025-04-18 19:45:30.069991","162.159.136.234","192.168.1.13","TLSv1.2","108","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.017797000","108"
"3","2025-04-18 19:45:30.115162","192.168.1.13","162.159.136.234","TCP","54","65451  >  443 [ACK] Seq=1 Ack=55 Win=509 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.045171000","54"
"4","2025-04-18 19:45:30.132032","162.159.136.234","192.168.1.13","TLSv1.2","102","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.016870000","102"
"5","2025-04-18 19:45:30.178903","192.168.1.13","162.159.136.234","TCP","54","65451  >  443 [ACK] Seq=1 Ack=103 Win=509 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.046871000","54"
"6","2025-04-18 19:45:30.253477","162.159.136.234","192.168.1.13","TLSv1.2","103","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.074574000","103"
"7","2025-04-18 19:45:30.301842","192.168.1.13","162.159.136.234","TCP","54","65451  >  443 [ACK] Seq=1 Ack=152 Win=509 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.048365000","54"
"8","2025-04-18 19:45:30.360465","fc:57:03:cc:07:80","Broadcast","ARP","60","Who has 192.168.1.10? Tell 192.168.1.1","","fc:57:03:cc:07:80","ff:ff:ff:ff:ff:ff","192.168.1.1","192.168.1.10","","","0.058623000","60"
"9","2025-04-18 19:45:30.461586","fc:57:03:cc:07:80","Broadcast","ARP","60","Who has 192.168.1.2? Tell 192.168.1.1","","fc:57:03:cc:07:80","ff:ff:ff:ff:ff:ff","192.168.1.1","192.168.1.2","","","0.101121000","60"
"10","2025-04-18 19:45:30.520559","162.159.136.234","192.168.1.13","TLSv1.2","288","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.058973000","288"
"11","2025-04-18 19:45:30.566374","192.168.1.13","162.159.136.234","TCP","54","65451  >  443 [ACK] Seq=1 Ack=386 Win=514 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.045815000","54"
"12","2025-04-18 19:45:30.592769","162.159.136.234","192.168.1.13","TLSv1.2","154","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.026395000","154"
"13","2025-04-18 19:45:30.642988","192.168.1.13","162.159.136.234","TCP","54","65451  >  443 [ACK] Seq=1 Ack=486 Win=513 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.050219000","54"
"14","2025-04-18 19:45:30.969129","162.159.136.234","192.168.1.13","TLSv1.2","139","Application Data","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.326141000","139"
"15","2025-04-18 19:45:31.017731","192.168.1.13","162.159.136.234","TCP","54","65451  >  443 [ACK] Seq=1 Ack=571 Win=513 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.048602000","54"
"16","2025-04-18 19:45:31.249860","192.168.1.13","8.8.8.8","DNS","84","Standard query 0x0677 A apse1-red.pp.sgp.pvp.net","","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x0000","0.232129000","84"
"17","2025-04-18 19:45:31.274956","8.8.8.8","192.168.1.13","DNS","170","Standard query response 0x0677 A apse1-red.pp.sgp.pvp.net CNAME apse1-red.pp.sgp.pvp.net.cdn.cloudflare.net A 172.64.146.73 A 104.18.41.183","","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","57","0x0000","0.025096000","170"
"18","2025-04-18 19:45:31.275799","192.168.1.13","172.64.146.73","TCP","66","50495  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1","\302\267\302\267\302\267\302\267\302\267\302\267\302\267\302\267\302\267\302\267S\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000843000","66"
"19","2025-04-18 19:45:31.298528","172.64.146.73","192.168.1.13","TCP","66","443  >  50495 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=8192","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267S\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.022729000","66"
"20","2025-04-18 19:45:31.298657","192.168.1.13","172.64.146.73","TCP","54","50495  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.000129000","54"
"21","2025-04-18 19:45:31.304502","192.168.1.13","172.64.146.73","TLSv1.3","571","Client Hello","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","90:0f:0c:31:14:3b","fc:57:03:cc:07:80","","","128","0x4000","0.005845000","571"
"22","2025-04-18 19:45:31.328360","172.64.146.73","192.168.1.13","TCP","54","443  >  50495 [ACK] Seq=1 Ack=518 Win=73728 Len=0","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","fc:57:03:cc:07:80","90:0f:0c:31:14:3b","","","55","0x4000","0.023858000","54"
